Year,Target Number,Number-of-Households
800,14,14
801,14,15
802,14,16
803,14,16
804,14,16
805,14,16
806,14,15
807,14,15
808,14,15
809,14,16
810,13,16
811,13,15
812,13,16
813,12,15
814,12,15
815,12,14
816,12,13
817,12,14
818,12,14
819,12,14
820,11,14
821,11,15
822,11,15
823,11,14
824,11,14
825,10,14
826,10,14
827,10,13
828,10,14
829,10,14
830,9,15
831,9,16
832,9,15
833,9,16
834,9,16
835,9,16
836,9,16
837,9,17
838,8,17
839,8,15
840,7,15
841,7,15
842,7,16
843,7,16
844,7,15
845,7,15
846,7,14
847,7,15
848,7,14
849,7,15
850,28,14
851,29,16
852,29,17
853,29,18
854,29,20
855,29,22
856,29,23
857,29,22
858,29,21
859,29,21
860,29,20
861,30,20
862,30,19
863,31,20
864,31,20
865,31,21
866,31,20
867,32,20
868,32,20
869,32,19
870,32,18
871,33,19
872,33,18
873,33,19
874,33,20
875,33,19
876,37,20
877,37,21
878,37,23
879,37,23
880,37,25
881,39,24
882,39,24
883,39,23
884,40,24
885,40,24
886,40,23
887,40,22
888,41,22
889,41,22
890,41,20
891,42,20
892,42,20
893,42,20
894,42,20
895,42,20
896,42,18
897,42,18
898,42,20
899,42,20
900,56,20
901,58,21
902,58,22
903,58,22
904,58,22
905,58,24
906,58,25
907,58,25
908,58,25
909,58,25
910,58,25
911,60,24
912,60,22
913,60,19
914,60,20
915,60,19
916,60,18
917,61,18
918,61,18
919,61,19
920,60,20
921,61,22
922,61,21
923,61,22
924,61,20
925,59,22
926,61,22
927,61,22
928,61,23
929,61,22
930,61,22
931,62,20
932,62,20
933,62,20
934,62,19
935,62,20
936,62,19
937,62,19
938,62,18
939,62,16
940,61,17
941,63,19
942,63,20
943,63,22
944,63,22
945,63,22
946,63,22
947,63,23
948,63,23
949,63,22
950,66,23
951,67,24
952,67,23
953,67,23
954,67,23
955,67,23
956,67,23
957,67,24
958,67,25
959,67,22
960,66,21
961,67,24
962,67,24
963,67,25
964,67,26
965,67,27
966,67,26
967,66,29
968,66,32
969,66,32
970,66,32
971,69,33
972,69,34
973,69,33
974,69,30
975,65,29
976,68,29
977,68,30
978,68,30
979,68,30
980,66,32
981,67,32
982,67,31
983,67,34
984,66,35
985,66,34
986,66,34
987,66,35
988,66,34
989,66,32
990,66,32
991,68,32
992,68,35
993,68,35
994,68,37
995,68,38
996,68,37
997,68,36
998,68,37
999,68,36
1000,87,35
1001,87,32
1002,87,31
1003,87,29
1004,87,30
1005,87,29
1006,87,28
1007,86,27
1008,86,26
1009,87,27
1010,85,28
1011,86,29
1012,86,29
1013,87,29
1014,87,30
1015,87,30
1016,87,32
1017,88,31
1018,88,30
1019,88,28
1020,87,28
1021,87,28
1022,87,27
1023,87,28
1024,87,27
1025,88,25
1026,90,26
1027,90,26
1028,90,26
1029,90,26
1030,89,26
1031,91,27
1032,92,29
1033,92,30
1034,95,30
1035,95,31
1036,95,30
1037,95,29
1038,97,28
1039,97,29
1040,94,28
1041,94,28
1042,94,28
1043,94,27
1044,95,27
1045,95,27
1046,95,28
1047,95,27
1048,95,26
1049,95,25
1050,134,24
1051,139,25
1052,139,26
1053,139,27
1054,139,27
1055,139,26
1056,139,26
1057,142,27
1058,142,27
1059,142,27
1060,142,28
1061,143,27
1062,143,25
1063,146,23
1064,146,23
1065,146,23
1066,146,22
1067,151,22
1068,151,21
1069,153,21
1070,151,20
1071,151,19
1072,151,22
1073,151,23
1074,151,22
1075,156,22
1076,164,23
1077,164,24
1078,164,26
1079,164,28
1080,163,28
1081,163,31
1082,163,33
1083,163,32
1084,165,32
1085,165,31
1086,165,29
1087,165,30
1088,164,29
1089,164,28
1090,163,26
1091,164,25
1092,164,24
1093,164,25
1094,161,27
1095,162,28
1096,162,29
1097,162,32
1098,162,31
1099,162,30
1100,162,30
1101,164,32
1102,164,35
1103,165,37
1104,165,37
1105,166,37
1106,166,36
1107,166,37
1108,167,37
1109,166,35
1110,166,35
1111,166,35
1112,166,35
1113,159,36
1114,159,35
1115,160,35
1116,160,34
1117,158,33
1118,159,34
1119,160,33
1120,160,33
1121,161,33
1122,162,37
1123,162,40
1124,162,39
1125,148,39
1126,150,39
1127,151,36
1128,151,38
1129,151,36
1130,151,35
1131,151,35
1132,149,34
1133,149,35
1134,147,36
1135,148,36
1136,148,35
1137,148,34
1138,148,37
1139,150,34
1140,150,34
1141,150,38
1142,151,38
1143,151,38
1144,152,38
1145,152,39
1146,152,40
1147,153,42
1148,153,43
1149,153,44
1150,116,45
1151,117,43
1152,118,44
1153,118,44
1154,119,42
1155,119,42
1156,120,40
1157,121,40
1158,122,38
1159,126,39
1160,124,40
1161,124,40
1162,124,38
1163,126,36
1164,127,35
1165,127,37
1166,129,40
1167,131,43
1168,131,45
1169,133,48
1170,132,47
1171,134,45
1172,134,44
1173,136,45
1174,137,43
1175,133,44
1176,138,45
1177,138,44
1178,139,43
1179,139,41
1180,138,37
1181,140,39
1182,140,38
1183,142,37
1184,142,36
1185,142,37
1186,143,40
1187,143,42
1188,144,40
1189,145,42
1190,145,46
1191,147,46
1192,146,48
1193,147,50
1194,147,50
1195,149,50
1196,149,51
1197,150,51
1198,151,50
1199,151,50
1200,145,48
1201,146,44
1202,146,43
1203,147,42
1204,148,41
1205,149,39
1206,149,40
1207,151,38
1208,153,37
1209,154,39
1210,155,39
1211,157,39
1212,159,40
1213,160,41
1214,161,41
1215,163,45
1216,164,44
1217,166,45
1218,167,46
1219,167,48
1220,169,47
1221,169,46
1222,171,49
1223,171,47
1224,173,46
1225,170,43
1226,173,40
1227,176,39
1228,176,40
1229,178,38
1230,178,36
1231,180,36
1232,182,36
1233,184,36
1234,184,36
1235,185,38
1236,188,39
1237,189,37
1238,190,37
1239,192,38
1240,191,38
1241,193,37
1242,192,41
1243,194,41
1244,194,43
1245,194,47
1246,195,48
1247,196,48
1248,199,48
1249,200,44
1250,192,43
1251,193,40
1252,194,35
1253,196,36
1254,196,36
1255,197,35
1256,200,35
1257,202,35
1258,202,36
1259,204,35
1260,201,35
1261,209,35
1262,208,35
1263,211,38
1264,212,37
1265,212,37
1266,213,37
1267,214,37
1268,215,35
1269,216,35
1270,210,36
1271,208,37
1272,206,38
1273,201,37
1274,196,38
1275,188,37
1276,181,36
1277,176,33
1278,172,31
1279,167,30
1280,159,30
1281,156,30
1282,148,32
1283,146,29
1284,141,28
1285,120,28
1286,118,28
1287,114,29
1288,106,29
1289,103,28
