Year,Number-of-Households,maxCapacity
800,14,166
801,14,38
802,14,41
803,14,161
804,12,165
805,13,84
806,12,45
807,10,48
808,9,30
809,10,30
810,10,89
811,10,42
812,9,40
813,8,43
814,9,85
815,9,44
816,9,37
817,9,31
818,9,34
819,8,32
820,8,79
821,8,172
822,8,155
823,8,32
824,8,41
825,7,33
826,7,94
827,7,33
828,7,39
829,7,39
830,7,32
831,6,81
832,6,77
833,6,46
834,6,43
835,6,37
836,7,166
837,7,38
838,7,83
839,7,50
840,6,36
841,6,39
842,6,36
843,6,46
844,5,44
845,6,45
846,6,48
847,6,35
848,6,36
849,5,34
850,4,35
851,4,32
852,4,67
853,3,39
854,2,82
855,2,45
856,2,162
857,2,32
858,2,149
859,2,37
860,2,31
861,2,84
862,2,75
863,2,41
864,2,43
865,2,42
866,2,35
867,2,32
868,2,42
869,2,87
870,1,35
871,1,38
872,1,39
873,1,40
874,1,31
875,1,31
876,1,92
877,1,36
878,1,39
879,0,35
880,0,43
881,0,83
882,0,33
883,0,36
884,0,36
885,0,35
886,0,39
887,0,39
888,0,39
889,0,42
890,0,40
891,0,33
892,0,41
893,0,81
894,0,40
895,0,33
896,0,92
897,0,86
898,0,45
899,0,92
900,0,29
901,0,32
902,0,46
903,0,35
904,0,32
905,0,84
906,0,36
907,0,36
908,0,161
909,0,36
910,0,43
911,0,86
912,0,43
913,0,91
914,0,42
915,0,41
916,0,38
917,0,88
918,0,84
919,0,43
920,0,22
921,0,80
922,0,43
923,0,38
924,0,34
925,0,93
926,0,161
927,0,40
928,0,78
929,0,86
930,0,34
931,0,84
932,0,35
933,0,41
934,0,47
935,0,36
936,0,43
937,0,40
938,0,78
939,0,41
940,0,47
941,0,34
942,0,86
943,0,35
944,0,40
945,0,94
946,0,86
947,0,93
948,0,42
949,0,84
950,0,85
951,0,31
952,0,92
953,0,83
954,0,29
955,0,37
956,0,71
957,0,34
958,0,44
959,0,43
960,0,75
961,0,35
962,0,47
963,0,42
964,0,31
965,0,48
966,0,175
967,0,36
968,0,37
969,0,36
970,0,138
971,0,142
972,0,81
973,0,203
974,0,92
975,0,77
976,0,102
977,0,140
978,0,79
979,0,99
980,0,88
981,0,79
982,0,146
983,0,98
984,0,89
985,0,143
986,0,142
987,0,229
988,0,222
989,0,216
990,0,88
991,0,89
992,0,79
993,0,84
994,0,228
995,0,199
996,0,210
997,0,207
998,0,198
999,0,213
1000,0,226
1001,0,212
1002,0,222
1003,0,218
1004,0,209
1005,0,208
1006,0,213
1007,0,231
1008,0,203
1009,0,216
1010,0,223
1011,0,226
1012,0,217
1013,0,206
1014,0,211
1015,0,207
1016,0,208
1017,0,221
1018,0,211
1019,0,231
1020,0,234
1021,0,227
1022,0,222
1023,0,217
1024,0,226
1025,0,224
1026,0,227
1027,0,223
1028,0,225
1029,0,233
1030,0,234
1031,0,283
1032,0,261
1033,0,275
1034,0,281
1035,0,277
1036,0,277
1037,0,283
1038,0,282
1039,0,286
1040,0,279
1041,0,284
1042,0,275
1043,0,283
1044,0,280
1045,0,269
1046,0,273
1047,0,273
1048,0,258
1049,0,272
1050,0,275
1051,0,284
1052,0,278
1053,0,287
1054,0,278
1055,0,272
1056,0,273
1057,0,271
1058,0,289
1059,0,273
1060,0,287
1061,0,278
1062,0,263
1063,0,282
1064,0,266
1065,0,287
1066,0,278
1067,0,276
1068,0,282
1069,0,266
1070,0,272
1071,0,273
1072,0,268
1073,0,272
1074,0,270
1075,0,283
1076,0,275
1077,0,286
1078,0,283
1079,0,285
1080,0,273
1081,0,284
1082,0,282
1083,0,265
1084,0,275
1085,0,273
1086,0,271
1087,0,279
1088,0,272
1089,0,282
1090,0,280
1091,0,271
1092,0,269
1093,0,278
1094,0,271
1095,0,270
1096,0,279
1097,0,280
1098,0,277
1099,0,274
1100,0,274
1101,0,274
1102,0,283
1103,0,275
1104,0,288
1105,0,284
1106,0,289
1107,0,275
1108,0,286
1109,0,274
1110,0,288
1111,0,275
1112,0,288
1113,0,271
1114,0,280
1115,0,283
1116,0,277
1117,0,291
1118,0,264
1119,0,270
1120,0,275
1121,0,282
1122,0,275
1123,0,290
1124,0,279
1125,0,271
1126,0,289
1127,0,287
1128,0,201
1129,0,200
1130,0,139
1131,0,150
1132,0,164
1133,0,149
1134,0,134
1135,0,146
1136,0,165
1137,0,155
1138,0,141
1139,0,147
1140,0,147
1141,0,152
1142,0,148
1143,0,155
1144,0,145
1145,0,158
1146,0,150
1147,0,154
1148,0,153
1149,0,147
1150,0,148
1151,0,143
1152,0,146
1153,0,158
1154,0,152
1155,0,160
1156,0,152
1157,0,153
1158,0,137
1159,0,153
1160,0,207
1161,0,217
1162,0,205
1163,0,199
1164,0,210
1165,0,199
1166,0,194
1167,0,210
1168,0,207
1169,0,209
1170,0,280
1171,0,273
1172,0,285
1173,0,280
1174,0,277
1175,0,266
1176,0,270
1177,0,272
1178,0,286
1179,0,284
1180,0,277
1181,0,282
1182,0,272
1183,0,281
1184,0,286
1185,0,280
1186,0,266
1187,0,281
1188,0,280
1189,0,281
1190,0,273
1191,0,287
1192,0,282
1193,0,271
1194,0,289
1195,0,289
1196,0,272
1197,0,273
1198,0,284
1199,0,283
1200,0,284
1201,0,272
1202,0,270
1203,0,277
1204,0,272
1205,0,274
1206,0,279
1207,0,269
1208,0,290
1209,0,273
1210,0,270
1211,0,269
1212,0,274
1213,0,285
1214,0,281
1215,0,271
1216,0,274
1217,0,286
1218,0,281
1219,0,274
1220,0,282
1221,0,281
1222,0,268
1223,0,289
1224,0,270
1225,0,286
1226,0,284
1227,0,276
1228,0,281
1229,0,283
1230,0,290
1231,0,274
1232,0,272
1233,0,272
1234,0,273
1235,0,274
1236,0,277
1237,0,274
1238,0,270
1239,0,284
1240,0,279
1241,0,291
1242,0,287
1243,0,279
1244,0,282
1245,0,275
1246,0,278
1247,0,280
1248,0,276
1249,0,281
1250,0,273
1251,0,269
1252,0,282
1253,0,272
1254,0,285
1255,0,276
1256,0,272
1257,0,277
1258,0,263
1259,0,231
1260,0,220
1261,0,224
1262,0,213
1263,0,217
1264,0,232
1265,0,122
1266,0,102
1267,0,154
1268,0,109
1269,0,94
1270,0,95
1271,0,143
1272,0,97
1273,0,104
1274,0,89
1275,0,147
1276,0,87
1277,0,98
1278,0,87
1279,0,138
1280,0,95
1281,0,99
1282,0,92
1283,0,100
1284,0,139
1285,0,98
1286,0,99
